,Date,ma5Requests,ma5Rides,ma5Fare,ma5NewDriver,ma5TotalDrivers,ma5OnlineDrivers,ma5AvgDistance/Ride(km),ma5AvgDuration/Ride(min),ma5Rides/Requests,ma5Online/Total
0,6/7/2015,,,,,,,,,,
1,7/7/2015,,,,,,,,,,
2,8/7/2015,,,,,,,,,,
3,9/7/2015,,,,,,,,,,
4,10/7/2015,3656.0,2169.0,12500.0,25.0,272.0,203.0,9.0,65.0,0.6016222184367038,0.7577945623027453
5,11/7/2015,3697.0,2143.0,14490.0,24.0,297.0,219.0,10.0,75.0,0.586772029284983,0.7426847142928263
6,12/7/2015,3833.0,2003.0,17159.0,26.0,323.0,219.0,9.0,70.0,0.5240864223503066,0.6762299058418753
7,13/7/2015,4031.0,1964.0,18660.0,29.0,353.0,248.0,9.0,64.0,0.4922331716088407,0.7004117240236934
8,14/7/2015,4230.0,1925.0,18158.0,31.0,384.0,267.0,8.0,58.0,0.46468110439140214,0.7023002859818415
9,15/7/2015,4219.0,1931.0,19962.0,37.0,421.0,271.0,9.0,53.0,0.46785738374498775,0.6522118876637986
10,16/7/2015,4316.0,1973.0,18091.0,47.0,468.0,308.0,9.0,57.0,0.4644283129898109,0.6559096735574302
11,17/7/2015,4413.0,2036.0,16493.0,46.0,515.0,371.0,9.0,63.0,0.468221395913336,0.7100100816632563
12,18/7/2015,4433.0,2045.0,15129.0,42.0,557.0,386.0,9.0,73.0,0.4685419193567052,0.6839094527324386
13,19/7/2015,4322.0,2124.0,15738.0,40.0,597.0,452.0,9.0,78.0,0.49511947884789664,0.7498399268382601
